Event,EventId,StartTime,TimeZone,EventStatus,LiveEventId,LiveFightId,LiveRoundNumber,LiveRoundElapsedTime,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,KOOfTheNight,SubmissionOfTheNight,PerformanceOfTheNight,Fight_Result_Method,Fight_Result_EndingRound,Fight_Result_EndingTime,Fight_Result_EndingStrike,Fight_Result_EndingTarget,Fight_Result_EndingPosition,Fight_Result_EndingSubmission,Fight_Result_EndingNotes,FightOfTheNight
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,11991,6,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,3891,168011,Red,Ikram,Aliskerov,,1992-12-07,32,Southpaw,185.0,72.0,76.0,http://www.ufc.com/athlete/Ikram-Aliskerov,Middleweight,15,2,0,0,Makhachkala,Dagestan,Russia,Makhachkala,Dagestan,Russia,https://ufc.com/images/2025-04/ALISKEROV_IKRAM_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,11991,6,Upcoming,Main,2025-04-27T01:00Z,ESPN 2,3162,157303,Blue,Andre,Muniz,Sergipano,1990-02-17,35,Southpaw,185.0,73.0,78.0,http://www.ufc.com/athlete/Andre-Muniz,Middleweight,24,6,0,0,Montes Claros,Minas Gerais,Brazil,Montes Claros,Minas Gerais,Brazil,https://ufc.com/images/2025-04/MUNIZ_ANDRE_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12008,7,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,2846,107461,Red,Matt,Schnell,Danger,1990-01-15,35,Orthodox,125.0,68.0,70.0,http://www.ufc.com/athlete/Matt-Schnell,Flyweight,16,9,0,1,Amory,Mississippi,USA,Shreveport,Louisiana,USA,https://ufc.com/images/2025-04/SCHNELL_MATT_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12008,7,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3564,115443,Blue,Jimmy,Flick,The Brick,1990-09-07,34,Orthodox,125.0,67.0,68.0,http://www.ufc.com/athlete/Jimmy-Flick,Flyweight,17,8,0,0,Sand Springs,Oklahoma,USA,Tulsa,Oklahoma,USA,https://ufc.com/images/2025-04/FLICK_JIMMY_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12064,8,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3787,154673,Red,Evan,Elder,The Phenom,1997-04-11,28,Switch,155.0,70.0,72.0,http://www.ufc.com/athlete/Evan-Elder,Lightweight,9,2,0,0,St. Louis,Missouri,USA,Hillsboro,Missouri,USA,https://ufc.com/images/2025-04/ELDER_EVAN_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12064,8,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,4219,159,Blue,Gauge,Young,Gee Money,2000-07-14,24,Orthodox,155.0,69.0,70.0,http://www.ufc.com/athlete/Gauge-Young,Lightweight,9,2,0,0,Sedalia,Missouri,USA,Sedalia,Missouri,USA,https://ufc.com/images/2025-04/YOUNG_GAUGE_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12059,9,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3219,114922,Red,Chris,Gutierrez,El Guapo,1991-04-22,34,Orthodox,135.0,69.0,67.0,http://www.ufc.com/athlete/Chris-Gutierrez,Featherweight,21,6,2,0,Jersey City,New Jersey,USA,Englewood,Colorado,USA,https://ufc.com/images/2025-04/GUTIERREZ_CHRIS_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12059,9,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,2925,119063,Blue,John,Castaneda,Sexi Mexi,1991-12-18,33,Switch,135.0,66.0,71.0,http://www.ufc.com/athlete/John-Castaneda,Featherweight,21,7,0,0,Dallas,Texas,USA,Minneapolis,Minnesota,USA,https://ufc.com/images/2025-04/CASTANEDA_JOHN_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12042,10,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3923,140540,Red,Da'Mon,Blackshear,The Monster,1994-08-12,30,Switch,135.0,70.0,72.0,http://www.ufc.com/athlete/Da'Mon-Blackshear,Bantamweight,16,7,1,0,Baytown,Massachusetts,USA,Miami,Florida,USA,,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12042,10,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3420,161441,Blue,,Alatengheili,The Mongolian Knight,1991-12-14,33,Orthodox,135.0,65.0,66.5,http://www.ufc.com/athlete/Heili-Alateng,Bantamweight,17,9,2,0,,Inner Mongolia,China,Beijing,,China,https://ufc.com/images/2025-04/ALATENGHEILI_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12007,11,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,4224,157,Red,Malcolm,Wellmaker,The Machine,1994-06-04,30,Switch,135.0,70.0,71.5,http://www.ufc.com/athlete/Malcolm-Wellmaker,Bantamweight,8,0,0,0,Augusta,Georgia,USA,Augusta,Georgia,USA,https://ufc.com/images/2025-04/WELLMAKER_MALCOM_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12007,11,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3900,170330,Blue,Cameron,Saaiman,MSP,2000-12-20,24,Southpaw,135.0,68.0,67.0,http://www.ufc.com/athlete/Cameron-Saaiman,Bantamweight,9,2,0,0,Pretoria,Gauteng,South Africa,Pretoria,Gauteng,South Africa,https://ufc.com/images/2025-04/SAAIMAN_CAMERON_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12011,12,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3951,164340,Red,Jaqueline,Amorim,,1995-06-24,29,Orthodox,115.0,63.0,68.0,http://www.ufc.com/athlete/Jaqueline-Amorim,Women's Strawweight,9,1,0,0,Manaus,Amazonas,Brazil,Manaus,Amazonas,Brazil,https://ufc.com/images/2025-04/AMORIM_JAQUELINE_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12011,12,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3049,155149,Blue,Polyana,Viana,Dama de Ferro,1992-06-14,32,Orthodox,115.0,65.0,67.0,http://www.ufc.com/athlete/Polyana-Viana,Women's Strawweight,13,7,0,0,Sao Geraldo Do Araguaia,Para,Brazil,Sao Geraldo Do Araguaia,Para,Brazil,https://ufc.com/images/2025-04/VIANA_POLYANA_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12060,13,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,4070,161,Red,Timmy,Cuamba,Twilight,1999-02-08,26,Orthodox,145.0,69.0,71.0,http://www.ufc.com/athlete/Timmy-Cuamba,Featherweight,8,3,0,0,Las Vegas,Nevada,USA,Las Vegas,Nevada,USA,,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12060,13,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,4311,161,Blue,Roberto,Romero,El Charro Negro,2000-01-30,25,Orthodox,145.0,68.0,70.0,http://www.ufc.com/athlete/Roberto-Romero,Featherweight,8,4,1,0,,Chihuahua,Mexico,,Chihuahua,Mexico,https://ufc.com/images/2025-04/ROMERO_ROBERTO_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12010,14,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3883,155854,Red,Chelsea,Chandler,,1990-11-23,34,Southpaw,135.0,68.0,68.0,http://www.ufc.com/athlete/Chelsea-Chandler,Women's Bantamweight,6,3,0,0,Stockton,California,USA,Stockton,California,USA,https://ufc.com/images/2025-04/CHANDLER_CHELSEA_04-26.png,False,False,False,,,,,,,,,False
UFC Fight Night: Machado Garry vs. Prates,1253,2025-04-26T22:00Z,GMT-05:00,Upcoming,,,,,1,Ultimate Fighting Championship,T-Mobile Center,284,Kansas City,Missouri,USA,USA,12010,14,Upcoming,Prelims1,2025-04-26T22:00Z,ESPN+,3629,157449,Blue,Joselyne,Edwards,La Pantera,1995-09-29,29,Orthodox,135.0,68.0,70.0,http://www.ufc.com/athlete/Joselyne-Edwards,Women's Bantamweight,14,6,0,0,Panama City,,Panama,Panama City,,Panama,https://ufc.com/images/2025-04/EDWARDS_JOSELYNE_04-26.png,False,False,False,,,,,,,,,False
