Event,EventId,StartTime,TimeZone,EventStatus,LiveEventId,LiveFightId,LiveRoundNumber,LiveRoundElapsedTime,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,KOOfTheNight,SubmissionOfTheNight,PerformanceOfTheNight,Fight_Result_Method,Fight_Result_EndingRound,Fight_Result_EndingTime,Fight_Result_EndingStrike,Fight_Result_EndingTarget,Fight_Result_EndingPosition,Fight_Result_EndingSubmission,Fight_Result_EndingNotes,FightOfTheNight
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11975,6,Upcoming,Prelims1,2025-04-13T00:00Z,ESPN,2941,142394,Red,Dan,Ige,50K,1991-08-06,33,Orthodox,145.0,67.0,71.0,http://www.ufc.com/athlete/Dan-Ige,Featherweight,18,9,0,0,San Clemente,California,USA,Haleiwa,Hawaii,USA,https://ufc.com/images/2025-04/IGE_DAN_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11975,6,Upcoming,Prelims1,2025-04-13T00:00Z,ESPN,3371,142584,Blue,Sean,Woodson,The Sniper,1992-06-07,32,Orthodox,145.0,74.0,78.0,http://www.ufc.com/athlete/Sean-Woodson,Featherweight,13,1,1,0,St. Louis,Missouri,USA,St. Louis,Missouri,USA,https://ufc.com/images/2025-04/WOODSON_SEAN_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11969,7,Upcoming,Prelims1,2025-04-13T00:00Z,ESPN,3010,154864,Red,Yan,Xiaonan,,1989-06-16,35,Orthodox,115.0,65.0,63.0,http://www.ufc.com/athlete/Xiaonan-Yan,Women's Strawweight,19,4,0,1,,Liaoning,China,Beijing,,China,https://ufc.com/images/2025-04/XIAONAN_YAN_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11969,7,Upcoming,Prelims1,2025-04-13T00:00Z,ESPN,3280,150524,Blue,Virna,Jandiroba,Carcara,1988-05-30,36,Orthodox,115.0,63.0,64.0,http://www.ufc.com/athlete/Virna-Jandiroba,Women's Strawweight,21,3,0,0,Serrinha,Bahia,Brazil,Feira de Santana,Bahia,Brazil,https://ufc.com/images/2025-04/JANDIROBA_VIRNA_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11971,8,Upcoming,Prelims1,2025-04-13T00:00Z,ESPN,509,103443,Red,Jim,Miller,A-10,1983-08-30,41,Southpaw,155.0,68.0,71.0,http://www.ufc.com/athlete/Jim-Miller,Lightweight,38,18,0,1,Sparta,New Jersey,USA,Sparta,New Jersey,USA,https://ufc.com/images/2025-04/MILLER_JIM_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11971,8,Upcoming,Prelims1,2025-04-13T00:00Z,ESPN,3139,154971,Blue,Chase,Hooper,The Dream,1999-09-13,25,Southpaw,155.0,73.0,74.0,http://www.ufc.com/athlete/Chase-Hooper,Lightweight,15,3,1,0,Enumclaw,Washington,USA,Enumclaw,Washington,USA,https://ufc.com/images/2025-04/HOOPER_CHASE_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11970,9,Upcoming,Prelims1,2025-04-13T00:00Z,ESPN,1486,121650,Red,Darren,Elkins,The Damage,1984-05-16,40,Orthodox,145.0,70.0,71.0,http://www.ufc.com/athlete/Darren-Elkins,Featherweight,29,11,0,0,Portage,Indiana,USA,Portage,Indiana,USA,https://ufc.com/images/2025-04/ELKINS_DARREN_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11970,9,Upcoming,Prelims1,2025-04-13T00:00Z,ESPN,2728,117688,Blue,Julian,Erosa,Juicy J,1989-07-31,35,Southpaw,145.0,73.0,74.5,http://www.ufc.com/athlete/Julian-Erosa,Featherweight,30,12,0,0,Seattle,Washington,USA,Yakima,Washington,USA,https://ufc.com/images/2025-04/EROSA_JULIAN_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11973,10,Upcoming,Prelims2,2025-04-12T22:00Z,UFC Fight Pass,3867,159360,Red,Sedriques,Dumas,The Reaper,1995-08-06,29,Orthodox,185.0,74.0,79.0,http://www.ufc.com/athlete/Sedriques-Dumas,Middleweight,10,2,0,0,Pensacola,Florida,USA,Pensacola,Florida,USA,https://ufc.com/images/2023-06/DUMAS_SEDRIQUES_06-24.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11973,10,Upcoming,Prelims2,2025-04-12T22:00Z,UFC Fight Pass,3016,154208,Blue,Michal,Oleksiejczuk,Hussar,1995-02-22,30,Southpaw,185.0,72.0,74.0,http://www.ufc.com/athlete/Michal-Oleksiejczuk,Middleweight,19,9,0,1,Wlodawa,Lublin,Poland,Barki,Lublin,Poland,https://ufc.com/images/2025-04/OLEKSIEJCZUK_MICHAL_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11974,11,Upcoming,Prelims2,2025-04-12T22:00Z,UFC Fight Pass,3216,158469,Red,,Sumudaerji,The Tibetan Eagle,1996-01-20,29,Southpaw,125.0,68.0,72.0,http://www.ufc.com/athlete/Su-Mudaerji,Flyweight,16,7,0,0,,Sichuan,China,,Sichuan,China,https://ufc.com/images/2025-04/SUMUDAERJI_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11974,11,Upcoming,Prelims2,2025-04-12T22:00Z,UFC Fight Pass,3766,159041,Blue,Mitch,Raposo,,1998-10-16,26,Switch,125.0,65.0,64.5,http://www.ufc.com/athlete/Mitch-Raposo,Flyweight,9,2,0,0,Fall River,Massachusetts,USA,Fall River,Massachusetts,USA,https://ufc.com/images/2025-04/RAPOSO_MITCH_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11978,12,Upcoming,Prelims2,2025-04-12T22:00Z,UFC Fight Pass,3759,140538,Red,Tresean,Gore,Mr. Vicious,1994-06-21,30,Switch,185.0,72.0,75.0,http://www.ufc.com/athlete/Tresean-Gore,Middleweight,6,2,0,0,Myrtle Beach,South Carolina,USA,Lawrenceville,Georgia,USA,https://ufc.com/images/2025-04/GORE_TRESEAN_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11978,12,Upcoming,Prelims2,2025-04-12T22:00Z,UFC Fight Pass,4018,172707,Blue,Marco,Tulio,Matuto,1994-06-13,30,Orthodox,185.0,72.0,74.5,http://www.ufc.com/athlete/Marco-Tulio,Middleweight,13,1,0,0,Uberlandia,Minas Gerais,Brazil,Sao Paulo,Sao Paulo,Brazil,https://ufc.com/images/2025-04/TULIO_MARCO_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11998,13,Upcoming,Prelims2,2025-04-12T22:00Z,UFC Fight Pass,4088,175,Red,Nora,Cornolle,,1989-12-06,35,Orthodox,135.0,67.0,67.0,http://www.ufc.com/athlete/Nora-Cornolle,Women's Bantamweight,8,2,0,0,Epinay-sur-Seine,Ile-de-France,France,Epinay-sur-Seine,Ile-de-France,France,https://ufc.com/images/2025-04/CORNOLLE_NORA_04-12.png,False,False,False,,,,,,,,,False
UFC 314: Volkanovski vs. Lopes,1251,2025-04-12T22:00Z,GMT-04:00,Upcoming,,,,,1,Ultimate Fighting Championship,Kaseya Center,202,Miami,Florida,USA,USA,11998,13,Upcoming,Prelims2,2025-04-12T22:00Z,UFC Fight Pass,3848,156020,Blue,Hailey,Cowan,All Hail,1992-02-12,33,Southpaw,135.0,68.0,67.0,http://www.ufc.com/athlete/Hailey-Cowan,Women's Bantamweight,7,3,0,0,Waco,Texas,USA,Robinson,Texas,USA,https://ufc.com/images/2025-04/COWAN_HAILEY_04-12.png,False,False,False,,,,,,,,,False
