id,Event,EventId,StartTime,TimeZone,EventStatus,OrganizationId,OrganizationName,Venue,VenueId,Location_City,Location_State,Location_Country,TriCode,FightId,FightOrder,FightStatus,CardSegment,CardSegmentStartTime,CardSegmentBroadcaster,FighterId,MMAId,Corner,FirstName,LastName,Nickname,DOB,Age,Stance,Weight_lbs,Height_in,Reach_in,UFC_Profile,FighterWeightClass,Record_Wins,Record_Losses,Record_Draws,Record_NoContests,Born_City,Born_State,Born_Country,FightingOutOf_City,FightingOutOf_State,FightingOutOf_Country,ImageURL,Rank,odds,Streak,style,TapologyEventURL,TapologyFighterURL,TapologyMatchConfidence
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12628,6,Final,Main,2026-03-21T20:00Z,Paramount+,4452,187270,Red,Kurtis,Campbell,The Pink Panther,2002-07-29,23,Switch,145.0,69.0,72.0,http://www.ufc.com/athlete/Kurtis-Campbell,Featherweight,8,1,0,0,Liverpool,England,United Kingdom,Liverpool,England,United Kingdom,https://ufc.com/images/2026-03/CAMPBELL_KURTIS_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12628,6,Final,Main,2026-03-21T20:00Z,Paramount+,4122,155099,Blue,Danny,Silva,El Puma,1997-01-30,29,Switch,145.0,67.0,69.0,http://www.ufc.com/athlete/Danny-Silva,Featherweight,11,2,0,0,Santa Ana,California,USA,Santa Ana,California,USA,https://ufc.com/images/2026-03/SILVA_DANNY_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12629,7,Final,Prelims1,2026-03-21T17:00Z,Paramount+,3607,164156,Red,Mason,Jones,The Dragon,1995-04-26,30,Orthodox,155.0,70.0,74.0,http://www.ufc.com/athlete/Mason-Jones,Lightweight,18,2,0,1,Abergavenny,Wales,United Kingdom,Blaenavon,Wales,United Kingdom,https://ufc.com/images/2026-03/JONES_MASON_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12629,7,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4476,187134,Blue,Axel,Sola,,1997-09-17,28,Southpaw,155.0,72.0,74.0,http://www.ufc.com/athlete/Axel-Sola,Lightweight,11,1,1,0,Nice,,France,Nice,,France,https://ufc.com/images/2026-03/SOLA_AXEL_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12624,8,Final,Prelims1,2026-03-21T17:00Z,Paramount+,3062,156337,Red,Nathaniel,Wood,The Last Kingsman,1993-05-08,32,Orthodox,145.0,66.0,69.0,http://www.ufc.com/athlete/Nathaniel-Wood,Featherweight,23,6,0,0,Carshalton,England,United Kingdom,London,England,United Kingdom,https://ufc.com/images/2025-10/WOOD_NATHANIEL_10-25.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12624,8,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4472,189948,Blue,Losene,Keita,Black Panther,1997-12-30,28,Orthodox,145.0,67.0,72.0,http://www.ufc.com/athlete/Losene-Keita,Featherweight,16,2,0,0,Nzerekore,Nzerekore,Guinea,Kortrijk,West Flanders,Belgium,,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12679,9,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4256,181376,Red,Mario,Pinto,,1998-03-14,28,Orthodox,265.0,77.0,79.0,http://www.ufc.com/athlete/Mario-Pinto,Heavyweight,12,0,0,0,Lisbon,Estremadura,Portugal,London,England,United Kingdom,https://ufc.com/images/2026-03/PINTO_MARIO_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12679,9,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4390,186530,Blue,Felipe,Franco,,2001-01-22,25,Orthodox,205.0,73.0,76.0,http://www.ufc.com/athlete/Felipe-Franco,Heavyweight,10,2,0,0,Salvador,Bahia,Brazil,Salvador,Bahia,Brazil,https://ufc.com/images/2026-03/FRANCO_FELIPE_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12634,10,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4398,187265,Red,Mantas,Kondratavicius,,1999-07-17,26,Orthodox,185.0,74.0,75.5,http://www.ufc.com/athlete/Mantas-Kondratavicius,Middleweight,9,1,0,0,Kaunas,,Lithuania,Kaunas,,Lithuania,https://ufc.com/images/2026-03/KONDRATAVICIUS_MANTAS_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12634,10,Final,Prelims1,2026-03-21T17:00Z,Paramount+,3321,147050,Blue,Antonio,Trocoli,Malvado,1990-12-06,35,Orthodox,185.0,77.0,80.0,http://www.ufc.com/athlete/Antonio-Trocoli,Middleweight,12,7,0,1,Salvador,Bahia,Brazil,Salvador,Bahia,Brazil,https://ufc.com/images/2026-03/TROCOLI_ANTONIO_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12632,11,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4478,,Red,Louie,Sutherland,Vanilla Gorilla,1994-02-08,32,Orthodox,264.0,75.0,76.0,http://www.ufc.com/athlete/Louie-Sutherland,Heavyweight,10,5,0,0,London,England,United Kingdom,London,England,United Kingdom,https://ufc.com/images/2026-03/SUTHERLAND_LOUIE_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12632,11,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4374,186416,Blue,Brando,Pericic,The Balkan Bear,1994-08-03,31,Orthodox,245.0,77.0,79.5,http://www.ufc.com/athlete/Brando-Pericic,Heavyweight,6,1,0,0,Adelaide,South Australia,Australia,Auckland,,New Zealand,https://ufc.com/images/2026-03/PERICIC_BRANDO_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12630,12,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4423,188564,Red,Shem,Rock,,1993-11-05,32,Southpaw,155.0,71.0,73.0,http://www.ufc.com/athlete/Shem-Rock,Lightweight,12,3,1,0,Liverpool,England,United Kingdom,Liverpool,England,United Kingdom,https://ufc.com/images/2026-03/ROCK_SHEM_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12630,12,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4074,164475,Blue,Abdul-Kareem,Al-Selwady,Pride of Palestine,1995-04-10,30,Orthodox,155.0,68.0,69.0,http://www.ufc.com/athlete/Abdul-Kareem-Al-Selwady,Lightweight,16,4,0,0,Baton Rouge,Louisiana,USA,Dallas,Texas,USA,https://ufc.com/images/2026-03/AL-SELWADY_ABDUL-KAREEM_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12635,13,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4403,180150,Red,Shanelle,Dyer,The Nightmare,2001-04-23,24,Orthodox,115.0,66.0,65.0,http://www.ufc.com/athlete/Shanelle-Dyer,Women's Strawweight,7,1,0,0,London,England,United Kingdom,London,England,United Kingdom,https://ufc.com/images/2026-03/DYER_SHANELLE_03-21.png,,,,,,,
,UFC Fight Night: Evloev vs. Murphy,1301,2026-03-21T17:00Z,GMT+00:00,Final,1,Ultimate Fighting Championship,The O2 Arena,172,London,England,United Kingdom,GBR,12635,13,Final,Prelims1,2026-03-21T17:00Z,Paramount+,4145,176337,Blue,Ravena,Oliveira,Kenoudy,1997-02-20,29,Orthodox,115.0,65.0,65.0,http://www.ufc.com/athlete/Ravena-Oliveira-Morais,Women's Strawweight,7,4,1,0,Miguel Calmon,Bahia,Brazil,Miguel Calmon,Bahia,Brazil,https://ufc.com/images/2026-03/OLIVEIRA_RAVENA_03-21.png,,,,,,,
